data;vl_indice
01/1980;1.0662
02/1980;1.1154584
03/1980;1.1828321
04/1980;1.2454039
05/1980;1.316392
06/1980;1.3862924
07/1980;1.4632316
08/1980;1.5356616
09/1980;1.6006201
10/1980;1.7523588
11/1980;1.8692412
12/1980;1.992798
01/1981;2.1291054
02/1981;2.2653682
03/1981;2.377957
04/1981;2.531573
05/1981;2.6723284
06/1981;2.819841
07/1981;2.996363
08/1981;3.161163
09/1981;3.3274401
10/1981;3.4964741
11/1981;3.6807383
12/1981;3.8990061
01/1982;4.1707668
02/1982;4.4477057
03/1982;4.7016697
04/1982;4.978598
05/1982;5.3101727
06/1982;5.6871949
07/1982;6.0489005
08/1982;6.4100199
09/1982;6.7356489
10/1982;7.0347117
11/1982;7.406848
12/1982;7.9853228
01/1983;8.6752547
02/1983;9.3571297
03/1983;10.043943
04/1983;10.7048345
05/1983;11.3985077
06/1983;12.5246803
07/1983;13.7871681
08/1983;15.0431791
09/1983;16.5926265
10/1983;18.0643925
11/1983;19.3975447
12/1983;21.0812516
01/1984;23.1198086
02/1984;25.3161904
03/1984;27.5794578
04/1984;30.2105381
05/1984;32.9445918
06/1984;36.2654067
07/1984;39.7904042
08/1984;43.510807
09/1984;48.6233268
10/1984;53.6996021
11/1984;59.3541702
12/1984;66.4647998
01/1985;74.2810603
02/1985;82.3554115
03/1985;90.7227213
04/1985;98.1619845
05/1985;105.2296474
06/1985;114.1636444
07/1985;125.9339162
08/1985;141.108953
09/1985;156.8002686
10/1985;173.4524572
11/1985;197.6837654
12/1985;227.4747089
01/1986;260.1628245
02/1986;293.2555358
03/1986;307.2438249
04/1986;309.6403267
05/1986;313.9752913
06/1986;317.9627775
07/1986;323.399941
08/1986;334.8806389
09/1986;340.6405859
10/1986;347.112757
11/1986;366.0304023
12/1986;408.6729441
01/1987;462.65864
02/1987;521.1386921
03/1987;606.449096
04/1987;722.2808734
05/1987;877.2101207
06/1987;1050.1082355
07/1987;1146.823204
08/1987;1202.673494
09/1987;1296.2414919
10/1987;1441.6797873
11/1987;1659.0850992
12/1987;1893.8456407
01/1988;2251.5930822
02/1988;2605.0931962
03/1988;3063.5895987
04/1988;3654.5560323
05/1988;4291.1796931
06/1988;5235.2392256
07/1988;6382.2801399
08/1988;7760.2144221
09/1988;9890.3932809
10/1988;12424.3120395
11/1988;15895.6648234
12/1988;20457.7206277
01/1989;28127.320091
02/1989;32847.0844023
03/1989;35087.2555585
04/1989;38010.0239465
05/1989;44821.4202377
06/1989;57662.7571359
07/1989;73658.4059653
08/1989;98488.6546163
09/1989;135480.99329
10/1989;189361.784322
11/1989;279914.589584
12/1989;424070.60322
01/1990;710530.295695
02/1990;1248614.88863
03/1990;2277348.69536
04/1990;2630793.21288
05/1990;2830470.41774
06/1990;3163050.69183
07/1990;3571716.84121
08/1990;4031753.97036
09/1990;4612729.71749
10/1990;5275117.70492
11/1990;6161864.99112
12/1990;7298112.89548
01/1991;8812471.32129
02/1991;10638415.3791
03/1991;11906514.4922
04/1991;12500649.5654
05/1991;13429447.8281
06/1991;14932203.0401
07/1991;16785289.4374
08/1991;19408830.1764
09/1991;22442430.333
10/1991;26982533.9894
11/1991;33784830.8081
12/1991;41795214.1927
01/1992;52636892.7542
02/1992;65438185.0721
03/1992;79441956.6775
04/1992;95274738.6433
05/1992;118960038.67
06/1992;143001862.485
07/1992;174219169.066
08/1992;212791293.097
09/1992;265201788.587
10/1992;332138720.026
11/1992;406836718.16
12/1992;509522305.823
01/1993;664162325.641
02/1993;830070074.586
03/1993;1056347176.92
04/1993;1349483518.51
05/1993;1723155504.79
06/1993;2241308365.08
07/1993;2929838294.83
08/1993;3895512996.81
09/1993;5285821585.37
10/1993;7078772267.13
11/1993;9595983685.32
12/1993;13131144075.0
01/1994;18555619692.4
02/1994;26027967742.5
03/1994;37154923952.4
04/1994;53012645495.3
05/1994;76354113306.8
06/1994;1.12568869248e+11
07/1994;1.20268579905e+11
08/1994;1.22505575491e+11
09/1994;1.24379910796e+11
10/1994;1.27638664459e+11
11/1994;1.3122531093e+11
12/1994;1.33469263747e+11
01/1995;1.35738241231e+11
02/1995;1.37122771291e+11
03/1995;1.39248174246e+11
04/1995;1.42631904881e+11
05/1995;1.46440176741e+11
06/1995;1.49749724735e+11
07/1995;1.53283818239e+11
08/1995;1.5480132804e+11
09/1995;1.56333861187e+11
10/1995;1.5853816863e+11
11/1995;1.60868679709e+11
12/1995;1.63378231112e+11
01/1996;1.65567499409e+11
02/1996;1.67272844653e+11
03/1996;1.67858299609e+11
04/1996;1.69973314184e+11
05/1996;1.72046988617e+11
06/1996;1.74094347782e+11
07/1996;1.76026795042e+11
08/1996;1.76801312941e+11
09/1996;1.7706651491e+11
10/1996;1.77597714455e+11
11/1996;1.78166027141e+11
12/1996;1.79003407469e+11
01/1997;1.81115647677e+11
02/1997;1.82021225915e+11
03/1997;1.82949534167e+11
04/1997;1.84559490068e+11
05/1997;1.85316183977e+11
06/1997;1.86316891371e+11
07/1997;1.86726788532e+11
08/1997;1.86689443174e+11
09/1997;1.8680145684e+11
10/1997;1.87231100191e+11
11/1997;1.87549393061e+11
12/1997;1.88355855451e+11
01/1998;1.89693182025e+11
02/1998;1.90565770662e+11
03/1998;1.91213694282e+11
04/1998;1.91672607149e+11
05/1998;1.92630970184e+11
06/1998;1.92669496378e+11
07/1998;1.92438292983e+11
08/1998;1.91456857689e+11
09/1998;1.91035652602e+11
10/1998;1.91073859732e+11
11/1998;1.908445711e+11
12/1998;1.91474358185e+11
01/1999;1.92814678692e+11
02/1999;1.94839232819e+11
03/1999;1.9698246438e+11
04/1999;1.9808556618e+11
05/1999;1.98679822879e+11
06/1999;1.99057314542e+11
07/1999;2.01227039271e+11
08/1999;2.02353910691e+11
09/1999;2.02981207814e+11
10/1999;2.05396684187e+11
11/1999;2.07347952687e+11
12/1999;2.08592040403e+11
01/2000;2.09885311053e+11
02/2000;2.10158161957e+11
03/2000;2.10620509914e+11
04/2000;2.11505116055e+11
05/2000;2.11526266567e+11
06/2000;2.1201277698e+11
07/2000;2.1542618269e+11
08/2000;2.18248265683e+11
09/2000;2.18750236694e+11
10/2000;2.19056487025e+11
11/2000;2.19757467784e+11
12/2000;2.21054036844e+11
01/2001;2.22314044854e+11
02/2001;2.2333668946e+11
03/2001;2.2418536888e+11
04/2001;2.25485644019e+11
05/2001;2.2641013516e+11
06/2001;2.27587467863e+11
07/2001;2.30614381185e+11
08/2001;2.32228681854e+11
09/2001;2.32878922163e+11
10/2001;2.34811817217e+11
11/2001;2.36478981119e+11
12/2001;2.38016094496e+11
01/2002;2.39253778188e+11
02/2002;2.40115091789e+11
03/2002;2.4155578234e+11
04/2002;2.43488228599e+11
05/2002;2.43999553879e+11
06/2002;2.45024352005e+11
07/2002;2.47940141794e+11
08/2002;2.49551752715e+11
09/2002;2.51348525335e+11
10/2002;2.54641191017e+11
11/2002;2.62331354986e+11
12/2002;2.6784031344e+11
01/2003;2.73866720493e+11
02/2003;2.78166428004e+11
03/2003;2.81587875069e+11
04/2003;2.84319277457e+11
05/2003;2.86053625049e+11
06/2003;2.85624544612e+11
07/2003;2.86195793701e+11
08/2003;2.871688594e+11
09/2003;2.89408776503e+11
10/2003;2.90248061955e+11
11/2003;2.91234905366e+11
12/2003;2.92749326873e+11
01/2004;2.94974221758e+11
02/2004;2.9677356451e+11
03/2004;2.98168400264e+11
04/2004;2.99271623345e+11
05/2004;3.00797908624e+11
06/2004;3.02933573775e+11
07/2004;3.05690269296e+11
08/2004;3.07799532154e+11
09/2004;3.0881527061e+11
10/2004;3.10174057801e+11
11/2004;3.123142588e+11
12/2004;3.15000161426e+11
01/2005;3.16827162362e+11
02/2005;3.1869644262e+11
03/2005;3.2064049092e+11
04/2005;3.23430063191e+11
05/2005;3.250148705e+11
06/2005;3.24949867526e+11
07/2005;3.25762242195e+11
08/2005;3.26316038007e+11
09/2005;3.2745814414e+11
10/2005;3.29914080221e+11
11/2005;3.31728607662e+11
12/2005;3.3292283065e+11
01/2006;3.34887075351e+11
02/2006;3.3626011236e+11
03/2006;3.37706030843e+11
04/2006;3.38415213508e+11
05/2006;3.38753628721e+11
06/2006;3.38042246101e+11
07/2006;3.38684526368e+11
08/2006;3.38853868631e+11
09/2006;3.39565461756e+11
10/2006;3.40686027779e+11
11/2006;3.41742154466e+11
12/2006;3.43382516807e+11
01/2007;3.44893399881e+11
02/2007;3.4641093084e+11
03/2007;3.47692651284e+11
04/2007;3.48561882913e+11
05/2007;3.49537856185e+11
06/2007;3.50516562182e+11
07/2007;3.51357801931e+11
08/2007;3.530091836e+11
09/2007;3.53644600131e+11
10/2007;3.54705533931e+11
11/2007;3.5605341496e+11
12/2007;3.58688210231e+11
01/2008;3.60625126566e+11
02/2008;3.62392189686e+11
03/2008;3.64131672197e+11
04/2008;3.66134396394e+11
05/2008;3.69026858126e+11
06/2008;3.71757656876e+11
07/2008;3.73727972457e+11
08/2008;3.7477441078e+11
09/2008;3.75748824248e+11
10/2008;3.77439693957e+11
11/2008;3.78798476855e+11
12/2008;3.79859112591e+11
01/2009;3.81682436331e+11
02/2009;3.83781689731e+11
03/2009;3.8454925311e+11
04/2009;3.86395089525e+11
05/2009;3.88211146446e+11
06/2009;3.89608706573e+11
07/2009;3.90543767469e+11
08/2009;3.9112958312e+11
09/2009;3.9206829412e+11
10/2009;3.93166085343e+11
11/2009;3.94778066293e+11
12/2009;3.96238745138e+11
01/2010;3.99210535727e+11
02/2010;4.02324377906e+11
03/2010;4.04416464671e+11
04/2010;4.06721638519e+11
05/2010;4.08470541565e+11
06/2010;4.08470541565e+11
07/2010;4.08511388619e+11
08/2010;4.08674793175e+11
09/2010;4.10513829744e+11
10/2010;4.13592683467e+11
11/2010;4.1702550274e+11
12/2010;4.19652763407e+11
01/2011;4.23135881343e+11
02/2011;4.26520968394e+11
03/2011;4.29890484044e+11
04/2011;4.33200640771e+11
05/2011;4.35236683783e+11
06/2011;4.35889538809e+11
07/2011;4.36586962071e+11
08/2011;4.3820233383e+11
09/2011;4.405248062e+11
10/2011;4.42419062866e+11
11/2011;4.44719641993e+11
12/2011;4.46943240203e+11
01/2012;4.49446122348e+11
02/2012;4.51468629899e+11
03/2012;4.52416714022e+11
04/2012;4.55312180992e+11
05/2012;4.56951304843e+11
06/2012;4.57316865887e+11
07/2012;4.5928332841e+11
08/2012;4.61166390057e+11
09/2012;4.6379503848e+11
10/2012;4.66531429207e+11
11/2012;4.69330617782e+11
12/2012;4.73038329663e+11
01/2013;4.77106459298e+11
02/2013;4.79969098054e+11
03/2013;4.82224952815e+11
04/2013;4.84877190055e+11
05/2013;4.86671235658e+11
06/2013;4.87936580871e+11
07/2013;4.88082961845e+11
08/2013;4.89254360954e+11
09/2013;4.90966751217e+11
10/2013;4.93765261699e+11
11/2013;4.96431594112e+11
12/2013;5.00998764778e+11
01/2014;5.03754257984e+11
02/2014;5.07230162364e+11
03/2014;5.11896679858e+11
04/2014;5.15326387613e+11
05/2014;5.17696888996e+11
06/2014;5.19767676552e+11
07/2014;5.1981965332e+11
08/2014;5.21119202453e+11
09/2014;5.24089581907e+11
10/2014;5.26290758151e+11
11/2014;5.28974841018e+11
12/2014;5.33100844778e+11
01/2015;5.39711295253e+11
02/2015;5.46295773055e+11
03/2015;5.53506877259e+11
04/2015;5.57436776088e+11
05/2015;5.61561808231e+11
06/2015;5.65998146516e+11
07/2015;5.69507335024e+11
08/2015;5.70760251161e+11
09/2015;5.73842356518e+11
10/2015;5.78547863841e+11
11/2015;5.84391197266e+11
12/2015;5.9000135276e+11
01/2016;5.9749436994e+11
02/2016;6.02871819269e+11
03/2016;6.05464168092e+11
04/2016;6.09157499517e+11
05/2016;6.13908928014e+11
06/2016;6.16057609262e+11
07/2016;6.1926110883e+11
08/2016;6.21985857709e+11
09/2016;6.22483446395e+11
10/2016;6.24101903355e+11
11/2016;6.25225286781e+11
12/2016;6.27100962642e+11
01/2017;6.294839463e+11
02/2017;6.31561243323e+11
03/2017;6.33140146431e+11
04/2017;6.34026542636e+11
05/2017;6.35992024918e+11
06/2017;6.34529243261e+11
07/2017;6.36052113445e+11
08/2017;6.3726061246e+11
09/2017;6.3828022944e+11
10/2017;6.40961006404e+11
11/2017;6.42755697222e+11
12/2017;6.45583822289e+11
